 AOU_Code,step,run,result,select,all_sca,
YBSA,era3,no,YBSA_step2_output_2025_11_12run1_allsca1,YBSA_step1_output_2025_10_04run1_3_7_SCA_SEL_PARS,,
BCCH,era3,no,BCCH_step2_output_2025_11_13run1_allsca2,BCCH_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,new models,
BAWW,era3,no,BAWW_step1_output_2025_11_14run1,BAWW_step1_output_2025_11_14run1_3_7_SCA_SEL_PARS,new models,
BHVI,era3,no,BHVI_step1_output_2025_11_15run1,BHVI_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models,
BLBW,era3,no,BLBW_step1_output_2025_11_15run1,BLBW_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models,
BRCR,era3,no,BRCR_step1_output_2025_11_15run1,BRCR_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models,
BTBW,era3,no,BTBW_step1_output_2025_11_16run1,BTBW_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models,
BTNW,era3,no,BTNW_step1_output_2025_11_16run1,BTNW_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models,
DOWO,era3,no,DOWO_step1_output_2025_11_16run1,DOWO_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models,
HAWO,era3,no,HAWO_step1_output_2025_11_17run1,HAWO_step1_output_2025_11_17run1_3_7_SCA_SEL_PARS,new models,
OVEN,era3,no,OVEN_step1_output_2025_11_18run1,OVEN_step1_output_2025_11_18run1_25_75_SCA_SEL_PARS,new models,
REVI,era3,no,REVI_step1_output_2025_11_18run1,REVI_step1_output_2025_11_18run1_25_75_SCA_SEL_PARS,new models,
SCTA,era3,no,SCTA_step1_output_2025_11_19run1,SCTA_step1_output_2025_11_19run1_25_75_SCA_SEL_PARS,new models,
VEER,era3,no,VEER_step1_output_2025_11_19run1,VEER_step1_output_2025_11_19run1_25_75_SCA_SEL_PARS,new models,
WBNU,era3,no,WBNU_step1_output_2025_11_20run1,WBNU_step1_output_2025_11_20run1_25_75_SCA_SEL_PARS,new models,
WOTH,era3,no,WOTH_step1_output_2025_11_20run1,WOTH_step1_output_2025_11_20run1_25_75_SCA_SEL_PARS,new models,
YBSA,era3,no,YBSA_step1_output_2025_11_21run1,YBSA_step1_output_2025_11_21run1_25_75_SCA_SEL_PARS,new models,
BAWW,era3,no,BAWW_step1_output_2025_09_24run1,BAWW_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,old,
BHVI,era3,no,BHVI_step1_output_2025_09_25run1,BHVI_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,old,
BLBW,era3,no,BLBW_step1_output_2025_09_25run1,BLBW_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,old,
BRCR,era3,no,BRCR_step1_output_2025_09_25run1,BRCR_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,old,
BTBW,era3,no,BTBW_step1_output_2025_09_26run1,BTBW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,old,
BTNW,era3,no,BTNW_step1_output_2025_09_26run1,BTNW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,old,
DOWO,era3,no,DOWO_step1_output_2025_09_27run1,DOWO_step1_output_2025_09_27run1_3_7_SCA_SEL_PARS,old,
HAWO,era3,no,HAWO_step1_output_2025_09_28run1,HAWO_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,old,
HETH,era3,no,HETH_step1_output_2025_09_28run1,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,old,
OVEN,era3,no,OVEN_step1_output_2025_09_30run1,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS,old,
REVI,era3,no,REVI_step1_output_2025_10_01run1,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS,old,
SCTA,era3,no,SCTA_step1_output_2025_10_02run1,SCTA_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,old,
VEER,era3,no,VEER_step1_output_2025_10_02run1,VEER_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,old,
